,Computador_para_internet,Tem_tablet,Internet_em_casa,V02323,Celular_para_internet,Tablet_para_internet,Tv_para_internet,Outros_para_internet,internet_3G/4G,internet_discada,internet_banda_larga
427,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
440,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim
444,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
445,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
455,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
478,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
480,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
484,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim
489,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
493,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
525,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
535,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
536,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
538,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
540,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
550,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
552,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
561,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim
589,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
596,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim
598,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
600,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
601,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim
603,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
618,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
619,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
629,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
635,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
637,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
638,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
646,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
648,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
672,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
674,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
675,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
676,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
678,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
681,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
683,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não
686,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Sim
689,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não
691,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
693,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
694,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
696,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
701,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
703,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
705,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
709,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
710,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim
711,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
715,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim,Não,Não
717,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
720,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim
721,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
722,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
724,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
726,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
730,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
733,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
745,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
749,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim
753,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
761,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
764,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
765,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
771,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim
775,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
778,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
781,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
783,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
788,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
796,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
797,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim
798,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
799,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
800,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
805,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
806,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
811,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
818,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
822,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
828,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
836,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
857,Não,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não
858,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
862,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
873,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
876,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
878,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
885,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
888,Não,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não
893,Não,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não
897,Não,Sim,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não
904,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
910,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
912,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
914,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
931,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
933,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
940,Não,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não
951,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
952,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim
953,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim
986,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não
990,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Sim
993,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
997,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Sim
998,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
999,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
1000,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1002,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1004,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim,Não,Sim
1005,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1006,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1007,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1012,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
1018,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1019,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
1024,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1030,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Não
1033,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim
1053,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1055,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1060,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1061,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1063,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1064,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1067,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1069,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1070,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1072,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1076,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1077,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Sim
1078,Não,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não
1081,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1083,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim
1084,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1086,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1092,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1103,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1104,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1106,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1113,Não,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Sim
1114,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1116,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim
1123,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1127,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1145,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Sim
1158,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1166,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1169,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1181,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim
1206,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1209,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1217,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não
1219,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1224,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
1230,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim
1235,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1236,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1237,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim
1238,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não
1242,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1243,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1244,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não
1248,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1254,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1256,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1260,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1261,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim
1264,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1266,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1267,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1269,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1272,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1274,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1276,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim,Não,Sim
1277,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1278,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1287,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não
1288,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1292,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1294,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1299,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1301,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1303,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1304,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim
1308,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1310,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1311,Não,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não
1314,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1317,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1319,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1320,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1321,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1322,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1324,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1325,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1327,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1332,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1334,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1335,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1336,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1338,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1340,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não
1344,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
1348,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
1349,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1354,Não,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não
1357,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
1361,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1362,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1365,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1368,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim
1370,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim
1371,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1372,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Sim
1373,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim
1375,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1376,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
1378,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1379,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não
1380,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1381,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim
1383,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
1384,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
1385,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
1386,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não
1388,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
1389,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
1393,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1395,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1403,Não,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não
1404,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1409,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1412,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1413,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1414,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1418,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1419,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
