,V0226,V0227,V02270,V02271,V02272,V02273,V02274,V2027
237,2.0,,0.0,1.0,3.0,3.0,1.0,1.0
240,2.0,,0.0,1.0,3.0,3.0,1.0,1.0
243,2.0,,1.0,0.0,3.0,3.0,1.0,1.0
244,2.0,,2.0,0.0,3.0,3.0,3.0,1.0
247,2.0,,0.0,1.0,1.0,3.0,1.0,1.0
249,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
264,2.0,,1.0,1.0,3.0,3.0,1.0,1.0
272,2.0,,0.0,1.0,3.0,1.0,1.0,3.0
274,2.0,,1.0,0.0,3.0,3.0,1.0,1.0
278,2.0,,1.0,0.0,1.0,1.0,1.0,1.0
284,2.0,,1.0,0.0,3.0,3.0,1.0,1.0
285,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
294,2.0,,0.0,1.0,3.0,3.0,1.0,3.0
297,2.0,,1.0,0.0,1.0,3.0,1.0,1.0
303,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
304,2.0,,0.0,1.0,3.0,3.0,1.0,1.0
306,4.0,3.0,0.0,1.0,,,,3.0
308,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
318,2.0,,1.0,0.0,3.0,3.0,1.0,1.0
321,2.0,,,,1.0,3.0,3.0,3.0
323,2.0,,0.0,1.0,3.0,1.0,1.0,1.0
330,2.0,,2.0,0.0,1.0,1.0,1.0,3.0
333,2.0,,1.0,0.0,1.0,3.0,3.0,1.0
342,2.0,,3.0,1.0,1.0,3.0,3.0,1.0
343,2.0,,0.0,1.0,1.0,3.0,1.0,1.0
345,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
349,2.0,,0.0,1.0,3.0,1.0,1.0,3.0
350,2.0,,0.0,1.0,3.0,1.0,3.0,1.0
355,2.0,,1.0,1.0,1.0,1.0,1.0,1.0
356,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
357,2.0,,0.0,1.0,1.0,3.0,1.0,1.0
396,2.0,,0.0,1.0,3.0,1.0,1.0,3.0
401,2.0,,3.0,0.0,3.0,1.0,1.0,1.0
406,2.0,,1.0,0.0,1.0,1.0,1.0,1.0
411,2.0,,0.0,1.0,3.0,1.0,1.0,3.0
412,2.0,,0.0,1.0,3.0,1.0,1.0,3.0
421,2.0,,1.0,0.0,1.0,1.0,1.0,1.0
427,2.0,,0.0,1.0,1.0,1.0,1.0,1.0
440,2.0,,0.0,1.0,3.0,1.0,1.0,1.0
444,2.0,,0.0,2.0,3.0,3.0,1.0,3.0
445,2.0,,0.0,1.0,3.0,1.0,1.0,3.0
453,2.0,,1.0,0.0,3.0,3.0,1.0,1.0
455,2.0,,0.0,1.0,3.0,3.0,1.0,3.0
478,2.0,,0.0,1.0,3.0,3.0,1.0,1.0
480,2.0,,0.0,2.0,3.0,3.0,1.0,3.0
484,2.0,,0.0,1.0,3.0,3.0,1.0,1.0
493,2.0,,0.0,1.0,3.0,3.0,1.0,1.0
535,2.0,,1.0,1.0,3.0,3.0,1.0,1.0
536,2.0,,0.0,1.0,3.0,3.0,1.0,1.0
540,2.0,,1.0,1.0,3.0,3.0,1.0,3.0
550,2.0,,0.0,2.0,3.0,1.0,1.0,1.0
561,2.0,,1.0,0.0,3.0,1.0,1.0,3.0
589,2.0,,1.0,0.0,3.0,3.0,3.0,1.0
596,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
598,2.0,,2.0,2.0,3.0,3.0,1.0,1.0
600,2.0,,2.0,0.0,1.0,3.0,3.0,1.0
603,2.0,,,,3.0,3.0,1.0,3.0
619,2.0,,0.0,1.0,3.0,1.0,3.0,3.0
629,2.0,,0.0,1.0,3.0,1.0,1.0,1.0
635,2.0,,0.0,2.0,3.0,3.0,1.0,1.0
637,2.0,,0.0,2.0,3.0,3.0,1.0,1.0
638,2.0,,1.0,1.0,3.0,3.0,1.0,1.0
648,2.0,,0.0,1.0,3.0,3.0,1.0,1.0
672,2.0,,2.0,0.0,3.0,1.0,1.0,1.0
675,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
676,2.0,,,,3.0,1.0,1.0,3.0
678,2.0,,0.0,1.0,1.0,1.0,1.0,1.0
681,2.0,,0.0,1.0,3.0,1.0,1.0,3.0
683,2.0,,0.0,1.0,3.0,1.0,1.0,3.0
686,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
693,2.0,,2.0,0.0,3.0,3.0,3.0,1.0
703,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
705,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
710,2.0,,0.0,1.0,1.0,3.0,3.0,3.0
711,2.0,,2.0,0.0,3.0,1.0,1.0,3.0
715,2.0,,1.0,0.0,3.0,3.0,3.0,1.0
721,2.0,,0.0,1.0,3.0,3.0,1.0,1.0
722,2.0,,0.0,1.0,1.0,1.0,3.0,1.0
724,2.0,,0.0,1.0,1.0,3.0,3.0,1.0
726,2.0,,,,1.0,1.0,1.0,3.0
730,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
749,2.0,,1.0,0.0,1.0,1.0,1.0,1.0
753,2.0,,3.0,2.0,3.0,1.0,1.0,1.0
771,2.0,,1.0,0.0,1.0,3.0,3.0,3.0
775,2.0,,1.0,0.0,3.0,3.0,1.0,1.0
778,2.0,,1.0,0.0,1.0,3.0,3.0,1.0
781,2.0,,1.0,1.0,3.0,1.0,1.0,1.0
783,2.0,,0.0,1.0,3.0,1.0,3.0,1.0
788,2.0,,0.0,1.0,1.0,3.0,1.0,1.0
799,2.0,,0.0,5.0,3.0,3.0,1.0,1.0
800,2.0,,1.0,0.0,1.0,1.0,1.0,1.0
805,2.0,,1.0,1.0,3.0,1.0,3.0,1.0
806,2.0,,0.0,1.0,1.0,1.0,1.0,1.0
811,2.0,,1.0,0.0,1.0,3.0,1.0,1.0
818,2.0,,1.0,0.0,3.0,1.0,1.0,3.0
822,2.0,,1.0,0.0,3.0,3.0,1.0,1.0
828,2.0,,0.0,2.0,1.0,5.0,1.0,3.0
857,2.0,,1.0,1.0,3.0,1.0,1.0,1.0
858,2.0,,1.0,0.0,1.0,1.0,3.0,3.0
862,2.0,,0.0,2.0,3.0,1.0,3.0,3.0
873,2.0,,0.0,1.0,3.0,1.0,1.0,3.0
885,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
888,2.0,,0.0,1.0,3.0,1.0,1.0,1.0
893,2.0,,1.0,1.0,3.0,3.0,1.0,1.0
897,2.0,,1.0,0.0,3.0,3.0,3.0,3.0
904,2.0,,0.0,1.0,3.0,5.0,1.0,3.0
910,2.0,,2.0,0.0,3.0,5.0,1.0,1.0
912,2.0,,0.0,1.0,3.0,1.0,1.0,1.0
914,2.0,,0.0,2.0,3.0,1.0,1.0,1.0
931,2.0,,0.0,1.0,3.0,3.0,1.0,3.0
933,2.0,,0.0,1.0,3.0,3.0,1.0,1.0
986,2.0,,1.0,0.0,3.0,3.0,1.0,1.0
990,2.0,,1.0,0.0,3.0,3.0,1.0,3.0
997,2.0,,1.0,1.0,1.0,1.0,1.0,1.0
998,2.0,,0.0,1.0,1.0,3.0,3.0,3.0
1000,2.0,,0.0,1.0,1.0,1.0,1.0,3.0
1002,2.0,,0.0,2.0,1.0,1.0,1.0,1.0
1005,2.0,,0.0,1.0,1.0,1.0,3.0,3.0
1006,2.0,,,,3.0,3.0,1.0,3.0
1007,2.0,,2.0,0.0,3.0,3.0,1.0,1.0
1012,2.0,,1.0,1.0,1.0,1.0,1.0,3.0
1019,2.0,,0.0,1.0,1.0,1.0,3.0,1.0
1024,2.0,,0.0,1.0,3.0,3.0,1.0,1.0
1053,2.0,,0.0,1.0,3.0,5.0,1.0,3.0
1055,2.0,,0.0,1.0,3.0,3.0,1.0,1.0
1060,2.0,,,,3.0,3.0,1.0,3.0
1061,2.0,,0.0,1.0,3.0,3.0,3.0,3.0
1063,2.0,,0.0,1.0,3.0,3.0,1.0,3.0
1064,2.0,,1.0,0.0,3.0,1.0,1.0,3.0
1067,2.0,,2.0,1.0,3.0,1.0,1.0,1.0
1069,2.0,,1.0,0.0,3.0,3.0,1.0,3.0
1070,2.0,,0.0,1.0,3.0,3.0,1.0,1.0
1072,4.0,3.0,1.0,0.0,,,,1.0
1076,2.0,,1.0,1.0,1.0,3.0,1.0,3.0
1077,2.0,,1.0,0.0,1.0,1.0,1.0,3.0
1078,2.0,,0.0,2.0,3.0,3.0,1.0,1.0
1081,2.0,,0.0,1.0,1.0,3.0,1.0,1.0
1083,2.0,,0.0,1.0,1.0,3.0,1.0,3.0
1084,2.0,,0.0,1.0,3.0,1.0,1.0,3.0
1086,2.0,,0.0,1.0,3.0,1.0,1.0,1.0
1092,2.0,,1.0,0.0,3.0,3.0,3.0,1.0
1103,2.0,,0.0,1.0,3.0,3.0,1.0,3.0
1104,2.0,,0.0,1.0,1.0,1.0,1.0,3.0
1106,2.0,,1.0,1.0,1.0,3.0,1.0,1.0
1113,4.0,3.0,0.0,1.0,,,,3.0
1114,2.0,,0.0,1.0,3.0,3.0,3.0,3.0
1116,2.0,,0.0,1.0,3.0,3.0,1.0,3.0
1127,2.0,,2.0,0.0,3.0,3.0,1.0,1.0
1145,2.0,,0.0,2.0,1.0,1.0,3.0,1.0
1158,2.0,,0.0,1.0,3.0,3.0,3.0,3.0
1166,2.0,,0.0,1.0,3.0,3.0,3.0,3.0
1169,2.0,,0.0,1.0,3.0,3.0,3.0,3.0
1181,2.0,,2.0,0.0,1.0,1.0,1.0,1.0
1206,2.0,,,,3.0,3.0,1.0,3.0
1209,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
1219,2.0,,0.0,1.0,3.0,1.0,3.0,3.0
1224,2.0,,2.0,0.0,1.0,1.0,3.0,3.0
1235,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
1236,2.0,,2.0,0.0,1.0,1.0,3.0,3.0
1237,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
1238,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
1242,2.0,,0.0,1.0,3.0,1.0,3.0,1.0
1243,2.0,,1.0,0.0,1.0,1.0,3.0,3.0
1244,2.0,,1.0,1.0,1.0,1.0,3.0,3.0
1254,2.0,,0.0,1.0,1.0,1.0,1.0,1.0
1256,2.0,,1.0,1.0,3.0,1.0,3.0,1.0
1261,2.0,,2.0,0.0,1.0,1.0,3.0,3.0
1264,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
1266,2.0,,2.0,1.0,1.0,3.0,1.0,1.0
1267,2.0,,0.0,1.0,1.0,1.0,3.0,1.0
1272,2.0,,1.0,1.0,3.0,3.0,3.0,3.0
1276,2.0,,0.0,1.0,3.0,1.0,3.0,3.0
1277,2.0,,1.0,1.0,1.0,1.0,3.0,1.0
1278,2.0,,1.0,0.0,3.0,3.0,3.0,1.0
1287,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
1299,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
1303,2.0,,2.0,0.0,1.0,1.0,3.0,3.0
1304,2.0,,1.0,1.0,1.0,1.0,3.0,1.0
1310,2.0,,0.0,1.0,1.0,1.0,3.0,1.0
1311,2.0,,1.0,1.0,3.0,1.0,3.0,1.0
1314,2.0,,1.0,1.0,1.0,1.0,3.0,1.0
1317,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
1319,2.0,,2.0,1.0,1.0,3.0,3.0,1.0
1320,2.0,,1.0,0.0,1.0,3.0,3.0,1.0
1321,2.0,,2.0,0.0,1.0,3.0,3.0,1.0
1322,2.0,,0.0,2.0,3.0,1.0,3.0,1.0
1324,2.0,,0.0,1.0,1.0,3.0,3.0,1.0
1325,2.0,,1.0,1.0,1.0,3.0,3.0,1.0
1332,2.0,,1.0,1.0,1.0,3.0,3.0,1.0
1334,2.0,,3.0,0.0,1.0,3.0,3.0,1.0
1335,2.0,,2.0,0.0,1.0,3.0,3.0,1.0
1336,2.0,,1.0,0.0,1.0,3.0,3.0,1.0
1338,2.0,,3.0,0.0,3.0,3.0,3.0,1.0
1340,2.0,,1.0,0.0,1.0,3.0,3.0,3.0
1348,2.0,,1.0,0.0,3.0,3.0,3.0,3.0
1349,2.0,,0.0,1.0,3.0,1.0,3.0,3.0
1354,2.0,,0.0,1.0,3.0,1.0,3.0,1.0
1357,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
1361,2.0,,,,3.0,3.0,3.0,3.0
1365,2.0,,3.0,0.0,1.0,1.0,1.0,1.0
1368,2.0,,4.0,0.0,3.0,1.0,3.0,1.0
1370,2.0,,2.0,0.0,1.0,3.0,3.0,1.0
1371,2.0,,1.0,1.0,1.0,1.0,1.0,1.0
1372,2.0,,1.0,0.0,1.0,1.0,1.0,1.0
1373,2.0,,1.0,0.0,1.0,3.0,1.0,1.0
1376,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
1378,2.0,,1.0,1.0,3.0,1.0,3.0,1.0
1380,2.0,,2.0,1.0,1.0,1.0,1.0,1.0
1381,2.0,,1.0,0.0,1.0,1.0,1.0,1.0
1383,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
1384,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
1386,2.0,,2.0,2.0,3.0,1.0,3.0,1.0
1388,2.0,,1.0,1.0,1.0,1.0,3.0,1.0
1389,2.0,,1.0,0.0,1.0,1.0,3.0,3.0
1393,2.0,,0.0,1.0,3.0,1.0,3.0,3.0
1403,2.0,,0.0,1.0,3.0,1.0,3.0,1.0
1409,2.0,,1.0,1.0,3.0,1.0,3.0,1.0
1413,2.0,,1.0,0.0,1.0,1.0,3.0,3.0
1414,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
1418,2.0,,1.0,1.0,1.0,3.0,3.0,1.0
1419,2.0,,0.0,1.0,1.0,1.0,3.0,1.0
1420,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
1421,2.0,,2.0,0.0,1.0,3.0,3.0,1.0
1423,2.0,,1.0,1.0,1.0,3.0,3.0,1.0
1424,2.0,,1.0,0.0,1.0,3.0,3.0,1.0
1427,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
1429,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
1431,2.0,,,,1.0,1.0,3.0,3.0
1432,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
1434,2.0,,1.0,0.0,1.0,1.0,3.0,3.0
1435,2.0,,0.0,1.0,1.0,1.0,3.0,1.0
1436,2.0,,0.0,1.0,1.0,1.0,3.0,1.0
1437,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
1441,2.0,,0.0,1.0,1.0,1.0,3.0,3.0
1453,2.0,,2.0,0.0,3.0,1.0,3.0,3.0
1460,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
1469,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
1474,2.0,,1.0,2.0,1.0,3.0,3.0,3.0
1484,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
1485,2.0,,1.0,2.0,1.0,3.0,3.0,3.0
1488,2.0,,1.0,1.0,3.0,3.0,3.0,1.0
1492,2.0,,2.0,2.0,1.0,1.0,1.0,1.0
1493,2.0,,2.0,0.0,3.0,3.0,3.0,1.0
1494,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
1495,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
1496,2.0,,1.0,2.0,3.0,3.0,3.0,3.0
1499,2.0,,1.0,0.0,3.0,3.0,3.0,1.0
1501,2.0,,0.0,1.0,3.0,1.0,3.0,1.0
1503,2.0,,1.0,1.0,3.0,3.0,3.0,1.0
1504,2.0,,3.0,0.0,1.0,1.0,3.0,1.0
1506,2.0,,0.0,1.0,1.0,1.0,3.0,1.0
1512,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
1526,2.0,,1.0,1.0,3.0,3.0,3.0,1.0
1528,2.0,,1.0,1.0,3.0,3.0,3.0,1.0
1534,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
1537,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
1538,2.0,,3.0,0.0,3.0,1.0,3.0,1.0
1542,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
1543,2.0,,0.0,2.0,1.0,1.0,3.0,1.0
1546,2.0,,2.0,1.0,3.0,3.0,3.0,1.0
1548,2.0,,1.0,0.0,3.0,3.0,3.0,1.0
1551,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
1555,2.0,,0.0,2.0,1.0,3.0,3.0,3.0
1557,2.0,,0.0,1.0,3.0,1.0,3.0,1.0
1558,2.0,,0.0,2.0,3.0,3.0,3.0,1.0
1560,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
1567,2.0,,0.0,2.0,3.0,3.0,1.0,1.0
1570,2.0,,0.0,1.0,1.0,3.0,3.0,1.0
1573,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
1577,2.0,,0.0,1.0,1.0,3.0,3.0,1.0
1578,2.0,,0.0,1.0,3.0,1.0,1.0,3.0
1580,2.0,,0.0,1.0,1.0,3.0,3.0,1.0
1584,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
1596,2.0,,0.0,1.0,3.0,1.0,3.0,3.0
1598,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
1600,4.0,3.0,2.0,1.0,,,,1.0
1606,4.0,3.0,2.0,0.0,,,,1.0
1610,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
1614,2.0,,,,3.0,1.0,3.0,3.0
1627,2.0,,0.0,1.0,1.0,3.0,3.0,3.0
1628,2.0,,1.0,1.0,3.0,3.0,3.0,3.0
1630,2.0,,1.0,1.0,1.0,3.0,3.0,1.0
1632,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
1637,2.0,,0.0,1.0,1.0,3.0,3.0,1.0
1638,2.0,,0.0,1.0,3.0,1.0,3.0,3.0
1639,2.0,,0.0,3.0,1.0,1.0,3.0,1.0
1640,2.0,,2.0,2.0,1.0,3.0,3.0,1.0
1650,2.0,,0.0,1.0,3.0,1.0,3.0,1.0
1660,2.0,,1.0,0.0,1.0,3.0,3.0,1.0
1663,2.0,,1.0,1.0,3.0,1.0,3.0,1.0
1664,2.0,,0.0,1.0,1.0,1.0,3.0,1.0
1669,2.0,,1.0,1.0,1.0,1.0,3.0,1.0
1672,2.0,,1.0,0.0,1.0,3.0,3.0,1.0
1676,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
1677,2.0,,0.0,1.0,3.0,1.0,3.0,3.0
1678,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
1680,2.0,,0.0,1.0,1.0,3.0,3.0,1.0
1682,2.0,,0.0,2.0,1.0,3.0,5.0,1.0
1685,2.0,,1.0,1.0,3.0,1.0,3.0,1.0
1688,2.0,,0.0,1.0,1.0,1.0,3.0,1.0
1691,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
1692,2.0,,0.0,2.0,1.0,1.0,3.0,1.0
1693,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
1695,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
1696,2.0,,1.0,1.0,1.0,1.0,3.0,1.0
1697,2.0,,0.0,2.0,1.0,1.0,1.0,1.0
1698,2.0,,0.0,1.0,1.0,1.0,3.0,1.0
1699,2.0,,2.0,0.0,1.0,1.0,3.0,1.0
1702,2.0,,2.0,1.0,1.0,1.0,3.0,1.0
1703,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
1704,2.0,,2.0,0.0,1.0,3.0,3.0,1.0
1711,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
1712,2.0,,0.0,1.0,1.0,1.0,3.0,1.0
1713,2.0,,0.0,1.0,3.0,1.0,3.0,1.0
1715,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
1717,2.0,,2.0,0.0,3.0,1.0,3.0,1.0
1718,2.0,,1.0,0.0,3.0,1.0,3.0,3.0
1719,2.0,,1.0,0.0,1.0,1.0,3.0,1.0
1729,2.0,,2.0,0.0,3.0,3.0,1.0,3.0
1735,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
1748,2.0,,1.0,1.0,3.0,3.0,1.0,1.0
1752,2.0,,1.0,1.0,1.0,3.0,1.0,1.0
1761,2.0,,2.0,0.0,1.0,1.0,1.0,3.0
1769,2.0,,2.0,1.0,1.0,1.0,3.0,1.0
1794,2.0,,0.0,2.0,1.0,1.0,1.0,1.0
1797,2.0,,0.0,2.0,1.0,1.0,1.0,1.0
1812,2.0,,0.0,1.0,3.0,1.0,1.0,3.0
1815,2.0,,1.0,0.0,3.0,3.0,1.0,1.0
1816,2.0,,,,3.0,1.0,1.0,3.0
1817,2.0,,0.0,1.0,3.0,3.0,1.0,1.0
1823,2.0,,0.0,1.0,1.0,1.0,3.0,3.0
1828,2.0,,0.0,1.0,3.0,3.0,1.0,1.0
1836,2.0,,0.0,1.0,3.0,3.0,1.0,3.0
1838,2.0,,0.0,1.0,1.0,3.0,1.0,1.0
1839,2.0,,,,3.0,3.0,3.0,3.0
1840,4.0,3.0,1.0,0.0,,,,1.0
1843,2.0,,0.0,1.0,3.0,3.0,1.0,1.0
1844,2.0,,0.0,1.0,3.0,3.0,1.0,3.0
1846,2.0,,0.0,1.0,1.0,1.0,1.0,1.0
1848,2.0,,,,3.0,1.0,1.0,3.0
1851,2.0,,1.0,0.0,3.0,3.0,1.0,3.0
1861,2.0,,0.0,1.0,1.0,1.0,1.0,1.0
1863,2.0,,0.0,1.0,3.0,3.0,1.0,3.0
1902,2.0,,1.0,1.0,3.0,3.0,1.0,1.0
1904,2.0,,0.0,1.0,3.0,5.0,1.0,3.0
1914,2.0,,0.0,1.0,3.0,3.0,1.0,1.0
1920,2.0,,1.0,0.0,3.0,5.0,1.0,1.0
1922,2.0,,0.0,2.0,3.0,3.0,1.0,1.0
1929,2.0,,0.0,1.0,3.0,3.0,3.0,1.0
1932,2.0,,0.0,1.0,1.0,1.0,1.0,3.0
1933,2.0,,1.0,0.0,3.0,1.0,3.0,1.0
1934,2.0,,0.0,1.0,3.0,1.0,1.0,1.0
1939,2.0,,0.0,1.0,1.0,1.0,1.0,3.0
1942,2.0,,0.0,1.0,3.0,1.0,1.0,1.0
1944,2.0,,1.0,0.0,1.0,1.0,1.0,3.0
1945,2.0,,0.0,1.0,3.0,3.0,1.0,3.0
1952,2.0,,1.0,1.0,1.0,3.0,3.0,3.0
1960,2.0,,1.0,0.0,1.0,3.0,1.0,1.0
1961,2.0,,,,3.0,3.0,1.0,3.0
1967,2.0,,1.0,2.0,3.0,3.0,1.0,1.0
1977,2.0,,,,3.0,3.0,1.0,3.0
1982,2.0,,0.0,2.0,1.0,3.0,1.0,1.0
1995,2.0,,2.0,0.0,1.0,1.0,1.0,1.0
2006,2.0,,1.0,1.0,3.0,3.0,1.0,1.0
2012,2.0,,,,3.0,1.0,1.0,3.0
2015,2.0,,0.0,1.0,3.0,1.0,1.0,1.0
2022,2.0,,,,3.0,3.0,3.0,3.0
2026,2.0,,,,1.0,3.0,1.0,3.0
2030,2.0,,0.0,1.0,3.0,1.0,1.0,1.0
2034,2.0,,1.0,0.0,3.0,3.0,1.0,3.0
2036,2.0,,3.0,0.0,3.0,1.0,1.0,1.0
2054,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
2058,2.0,,2.0,3.0,3.0,1.0,1.0,1.0
2065,2.0,,1.0,0.0,3.0,3.0,1.0,1.0
2068,2.0,,0.0,1.0,3.0,1.0,1.0,1.0
2069,2.0,,1.0,0.0,1.0,3.0,3.0,1.0
2071,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
2073,2.0,,0.0,1.0,1.0,1.0,1.0,3.0
2079,2.0,,0.0,1.0,1.0,3.0,3.0,3.0
2081,2.0,,1.0,0.0,3.0,1.0,1.0,3.0
2084,2.0,,0.0,1.0,3.0,1.0,1.0,3.0
2097,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
2099,2.0,,1.0,0.0,3.0,1.0,1.0,3.0
2104,2.0,,0.0,1.0,3.0,1.0,1.0,1.0
2105,2.0,,1.0,0.0,1.0,1.0,1.0,1.0
2108,2.0,,1.0,0.0,3.0,3.0,3.0,1.0
2114,2.0,,1.0,0.0,1.0,3.0,3.0,1.0
2115,2.0,,1.0,1.0,1.0,3.0,1.0,1.0
2117,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
2118,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
2134,2.0,,0.0,1.0,1.0,3.0,3.0,1.0
2139,4.0,3.0,2.0,0.0,,,,1.0
2140,2.0,,5.0,0.0,3.0,3.0,1.0,1.0
2143,2.0,,1.0,1.0,3.0,1.0,1.0,1.0
2145,2.0,,1.0,0.0,3.0,1.0,1.0,1.0
2148,2.0,,1.0,0.0,3.0,3.0,1.0,1.0
2150,2.0,,1.0,1.0,3.0,1.0,1.0,1.0
2152,2.0,,0.0,1.0,1.0,1.0,3.0,1.0
2165,2.0,,1.0,0.0,3.0,3.0,1.0,3.0
2174,2.0,,1.0,0.0,1.0,1.0,1.0,3.0
2181,2.0,,2.0,0.0,3.0,3.0,1.0,1.0
2185,2.0,,1.0,0.0,3.0,1.0,1.0,3.0
