,Computador_para_internet,Tem_tablet,Internet_em_casa,V02323,Celular_para_internet,Tablet_para_internet,Tv_para_internet,Outros_para_internet,internet_3G/4G,internet_discada,internet_banda_larga
538,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
540,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
552,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
561,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim
589,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
600,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
603,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
619,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
629,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
635,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
637,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
638,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
646,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
648,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
672,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
674,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
675,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
678,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
681,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
683,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não
686,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Sim
689,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não
693,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
694,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
696,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
701,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim
703,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
705,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
709,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
710,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim
711,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
722,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
724,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
726,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
730,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
745,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
761,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
764,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
765,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
771,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim
778,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
781,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
783,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
788,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
796,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
797,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim
798,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
799,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
800,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
805,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
806,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
811,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
818,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
822,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
836,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
857,Não,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não
858,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
873,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
876,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
878,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
885,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
888,Não,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não
904,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
910,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
914,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
931,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
933,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
940,Não,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não
951,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
952,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim
990,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Sim
997,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Sim
998,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
999,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
1000,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1002,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1004,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim,Não,Sim
1005,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1006,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1007,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1012,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
1018,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1024,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1030,Sim,Não,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Não
1033,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim
1053,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1055,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1060,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1061,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1063,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1064,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1069,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1070,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1072,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1076,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1077,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Sim,Não,Sim
1078,Não,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não
1081,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1084,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1092,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1103,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1104,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1106,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1113,Não,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Sim
1114,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1116,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim
1123,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1145,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Sim
1158,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1166,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1169,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1206,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1209,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1219,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1236,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1237,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim
1238,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não
1243,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1248,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1254,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1256,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1260,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1261,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim
1264,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1266,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1267,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1269,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1272,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1274,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1276,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim,Não,Sim
1277,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1287,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não
1288,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1292,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1294,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1299,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1301,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1303,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1304,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim
1308,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1310,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1311,Não,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não
1317,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1319,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1320,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1321,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1322,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1325,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1334,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1335,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1336,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1338,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1340,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não
1349,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1354,Não,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não
1357,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
1361,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1362,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1368,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim
1370,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim
1371,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1372,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Sim
1373,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim
1375,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1379,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não
1380,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1381,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim
1383,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
1388,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
1395,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1403,Não,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não
1404,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1409,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1413,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1414,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1418,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1419,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1420,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1423,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1424,Sim,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Sim
1429,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1431,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1432,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1434,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1435,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1436,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1437,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1438,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1445,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1453,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Sim
1464,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1469,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1474,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1485,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1493,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
1494,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Sim
1501,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1504,Sim,Não,Sim,Sim,Sim,Não,Sim,Não,Não,Não,Sim
1506,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Não,Não,Sim
1512,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1516,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1526,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1528,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
1538,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1542,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não
1543,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim
1546,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
1548,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
1551,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Sim
1557,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
1558,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Sim
1560,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
1567,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Sim
1572,Não,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não
1573,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1577,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1584,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1595,Não,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não
1598,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Sim
1600,Não,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não
1610,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1627,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não
1628,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1630,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1632,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim
1634,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
1637,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
1638,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim
1639,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1640,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não
1650,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1660,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim
1663,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1664,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1669,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1672,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1676,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Sim,Não,Não
1678,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1680,Sim,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim
1682,Sim,Não,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não
